Current Time,Command Name,Command Line,Status,hError
[2025-08-07T13:01:50Z],WdSupportLogs,"C:\WINDOWS\system32\cmd.exe /C """"%ProgramFiles%\Windows Defender\mpcmdrun.exe"" -GetFiles & copy ""%programdata%\Microsoft\Windows Defender\Support\MPSupportFiles.cab"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\7c0ac2a0-be8c-4a7e-ab0e-f82a78c044d6\WdSupportLogs"" """,Completed,0
[2025-08-07T13:01:50Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2025-08-07T13:01:50Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2025-08-07T13:01:50Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2025-08-07T13:01:50Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2025-08-07T13:01:51Z],TempDirFiles,"C:\WINDOWS\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\Admin\AppData\Local\Temp""",Completed,0
[2025-08-07T13:01:51Z],TempDirFiles,"C:\WINDOWS\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\Administrator\AppData\Local\Temp""",Completed,0
[2025-08-07T13:01:51Z],TempDirFiles,"C:\WINDOWS\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\Sapadmin\AppData\Local\Temp""",Completed,0
[2025-08-07T13:01:51Z],TempDirFiles,"C:\WINDOWS\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\WDAGUtilityAccount\AppData\Local\Temp""",Completed,0
[2025-08-07T13:01:51Z],ActiveNetConnections,"C:\WINDOWS\system32\netstat.exe -abno",Completed,0
[2025-08-07T13:01:59Z],ScheduledTasks,"C:\WINDOWS\system32\schtasks.exe /query /v /fo CSV",Completed,0
[2025-08-07T13:01:59Z],UserInstalledPrograms,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2025-08-07T13:01:59Z],UserInstalledPrograms,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2025-08-07T13:01:59Z],UserInstalledPrograms,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2025-08-07T13:01:59Z],UserInstalledPrograms,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2025-08-07T13:01:59Z],Wow6432NodeInstalledPrograms,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2025-08-07T13:02:00Z],InstalledPrograms,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2025-08-07T13:02:00Z],LocalGroups,"C:\WINDOWS\system32\cmd.exe /C ""for /f ""delims=*"" %x in ('net localgroup ^|find ""*""') do net localgroup ""%x""""",Completed,0
[2025-08-07T13:02:01Z],AddressResolutionProtocolCache,"C:\WINDOWS\system32\arp.exe -a",Completed,0
[2025-08-07T13:02:01Z],DnsCache,"C:\WINDOWS\system32\ipconfig.exe /displaydns",Completed,0
[2025-08-07T13:02:01Z],SecurityEventLog,"C:\WINDOWS\system32\wevtutil.exe epl Security ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\7c0ac2a0-be8c-4a7e-ab0e-f82a78c044d6\Security Event Log\Security.evtx"" /q:""*[System[TimeCreated[@SystemTime >= '2025-07-31T00:00:00']]]"" /ow:true",Completed,0
[2025-08-07T13:02:01Z],IpConfig,"C:\WINDOWS\system32\ipconfig.exe /all",Completed,0
[2025-08-07T13:02:01Z],hklm_Software_Microsoft_Windows_CurrentVersion_GroupPolicy_Scripts_Startup,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Group Policy\Scripts\Startup"" /s",Completed,0
[2025-08-07T13:02:01Z],hklm_Software_Microsoft_Windows_CurrentVersion_GroupPolicy_Scripts_Shutdown,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Group Policy\Scripts\Shutdown"" /s",Completed,0
[2025-08-07T13:02:01Z],hklm_Software_Microsoft_Windows_CurrentVersion_Run,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"" /s",Completed,0
[2025-08-07T13:02:01Z],hkcu_Software_Microsoft_Windows_CurrentVersion_Run,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"" /s",Completed,0
[2025-08-07T13:02:01Z],hkcu_Software_Microsoft_Windows_CurrentVersion_Run,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"" /s",Completed,0
[2025-08-07T13:02:01Z],hkcu_Software_Microsoft_Windows_CurrentVersion_Run,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"" /s",Completed,0
[2025-08-07T13:02:01Z],hkcu_Software_Microsoft_Windows_CurrentVersion_Run,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_SOFTWARE_Microsoft_ActiveSetup_InstalledComponents,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Microsoft\Active Setup\Installed Components"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_SOFTWARE_Wow6432Node_Microsoft_ActiveSetup_InstalledComponents,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_SOFTWARE_Classes_Protocols_Filter,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Classes\Protocols\Filter"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_SOFTWARE_Classes_Protocols_Handler,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Classes\Protocols\Handler"" /s",Completed,0
[2025-08-07T13:02:02Z],hkcu_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hkcu_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hkcu_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hkcu_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_Software_Classes_All_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Classes\*\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_Software_Classes_Drive_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Classes\Drive\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_Software_Classes_ALL_ShellEx_PropertySheetHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Classes\*\ShellEx\PropertySheetHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_Software_Classes_Directory_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Classes\Directory\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_Software_Classes_Directory_Background_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Classes\Directory\Background\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:02Z],hklm_Software_Classes_Folder_ShellEx_ContextMenuHandlers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Classes\Folder\ShellEx\ContextMenuHandlers"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Microsoft_Windows_CurrentVersion_Explorer_ShellIconOverlayIdentifiers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Explorer\ShellIconOverlayIdentifiers"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Wow6432Node_Microsoft_Windows_CurrentVersion_Explorer_ShellIconOverlayIdentifiers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\ShellIconOverlayIdentifiers"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Microsoft_Windows_CurrentVersion_Explorer_BrowserHelperObjects,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Explorer\Browser Helper Objects"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Wow6432Node_Microsoft_Windows_CurrentVersion_Explorer_BrowserHelperObjects,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\Browser Helper Objects"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Microsoft_InternetExplorer_Extensions,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Internet Explorer\Extensions"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Wow6432Node_Microsoft_InternetExplorer_Extensions,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Internet Explorer\Extensions"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Google_Chrome_Extensions,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Google\Chrome\Extensions"" /s",Completed,0
[2025-08-07T13:02:03Z],hklm_Software_Wow6432Node_Google_Chrome_Extensions,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Google\Chrome\Extensions"" /s",Completed,0
[2025-08-07T13:02:49Z],hklm_System_CurrentControlSet_Services,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\System\CurrentControlSet\Services"" /s",Completed,0
[2025-08-07T13:02:49Z],hklm_SOFTWARE_Microsoft_WindowsNT_CurrentVersion_FontDrivers,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Font Drivers"" /s",Completed,0
[2025-08-07T13:02:49Z],hklm_Software_Microsoft_WindowsNT_CurrentVersion_Drivers32,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows NT\CurrentVersion\Drivers32"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_Software_Wow6432Node_Microsoft_WindowsNT_CurrentVersion_Drivers32,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Drivers32"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_SOFTWARE_Classes_Htmlfile_Shell_Open_Command,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SOFTWARE\Classes\Htmlfile\Shell\Open\Command"" /ve /s",Completed,0
[2025-08-07T13:02:50Z],hklm_SYSTEM_CurrentControlSet_Control_Print_Monitors,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\SYSTEM\CurrentControlSet\Control\Print\Monitors"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_Software_Microsoft_Office_Outlook_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Outlook_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Outlook_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Outlook_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Outlook_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Software\Microsoft\Office\Outlook\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_Software_Microsoft_Office_Excel_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Excel_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Excel_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Excel_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Excel_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Software\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_Software_Wow6432Node_Microsoft_Office_Excel_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Office\Excel\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_Software_Microsoft_Office_PowerPoint_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_PowerPoint_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_PowerPoint_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_PowerPoint_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_PowerPoint_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Software\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hklm_Software_Wow6432Node_Microsoft_Office_PowerPoint_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Office\PowerPoint\Addins"" /s",Completed,0
[2025-08-07T13:02:50Z],hkcu_Software_Microsoft_Office_Word_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Software\Microsoft\Office\Word\Addins"" /s",Completed,0
[2025-08-07T13:02:51Z],hkcu_Software_Microsoft_Office_Word_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Software\Microsoft\Office\Word\Addins"" /s",Completed,0
[2025-08-07T13:02:51Z],hkcu_Software_Microsoft_Office_Word_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Software\Microsoft\Office\Word\Addins"" /s",Completed,0
[2025-08-07T13:02:51Z],hkcu_Software_Microsoft_Office_Word_Addins,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Software\Microsoft\Office\Word\Addins"" /s",Completed,0
[2025-08-07T13:02:51Z],Prefetch,"C:\WINDOWS\system32\robocopy.exe /MIR C:\WINDOWS\Prefetch ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\7c0ac2a0-be8c-4a7e-ab0e-f82a78c044d6\Verbose\Prefetch Files\Prefetch"" /MAXAGE:20250731",Completed,0
[2025-08-07T13:02:51Z],SmbInboundSessions,"C:\WINDOWS\system32\net.exe session",Completed,0
[2025-08-07T13:02:51Z],SmbOutboundSessions,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1001\Network"" /s",Completed,0
[2025-08-07T13:02:51Z],SmbOutboundSessions,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-500\Network"" /s",Completed,0
[2025-08-07T13:02:51Z],SmbOutboundSessions,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-1002\Network"" /s",Completed,0
[2025-08-07T13:02:51Z],SmbOutboundSessions,"C:\WINDOWS\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-382297125-3180263876-1941408969-504\Network"" /s",Completed,0
[2025-08-07T13:02:52Z],QueryUser,"C:\WINDOWS\system32\query.exe user",Completed,0
[2025-08-07T13:02:52Z],FirewallLog,"C:\WINDOWS\system32\cmd.exe /C ""for /f ""tokens=2 delims= "" %F in ('netsh advfirewall show currentprofile ^| findstr pfirewall.log') do cmd /C xcopy /F /Y /Q ""%F"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\7c0ac2a0-be8c-4a7e-ab0e-f82a78c044d6\..\"" & cmd /C move ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\7c0ac2a0-be8c-4a7e-ab0e-f82a78c044d6\..\pfirewall.log"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\7c0ac2a0-be8c-4a7e-ab0e-f82a78c044d6\Network Connections\pfirewall.log""""",Completed,0
[2025-08-07T13:02:57Z],SystemInformation,"C:\WINDOWS\system32\cmd.exe /C ""C:\WINDOWS\system32\systeminfo.exe""",Completed,0
[2025-08-07T13:02:57Z],ProcessList,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ""Get-CimInstance -ClassName Win32_Process | ConvertTo-Csv""",Completed,0
[2025-08-07T13:02:58Z],Services,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ""Get-CimInstance -ClassName Win32_Service | ConvertTo-Csv""",Completed,0
[2025-08-07T13:03:00Z],WmicInstalledPrograms,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ""Get-CimInstance -ClassName Win32_Product | Select-Object Caption,Description,IdentifyingNumber,InstallDate,InstallDate2,InstallLocation,InstallSource,InstallState,Language,LocalPackage,Name,PackageCache,PackageCode,PackageName,ProductID,Vendor,Version | ConvertTo-Csv""",Completed,0
