"Name","Id","StartTime","Path","Company","Description","FileVersion","ProductVersion","CPU","WorkingSet","VirtualMemorySize"
"sihost","2132","07-08-2025 15:11:08","C:\WINDOWS\system32\sihost.exe","Microsoft Corporation","Shell Infrastructure Host","10.0.26100.1882 (WinBuild.160101.0800)","10.0.26100.1882","7.21875","18792448","235331584"
"smartscreen","7384","07-08-2025 18:26:38","C:\Windows\System32\smartscreen.exe","Microsoft Corporation","Windows Defender SmartScreen","10.0.26100.4202 (WinBuild.160101.0800)","10.0.26100.4202","0.0625","13070336","134225920"
"smss","460","07-08-2025 14:56:17",,,,,,"0.21875","24576","57864192"
"spoolsv","2672","07-08-2025 14:56:21","C:\WINDOWS\System32\spoolsv.exe","Microsoft Corporation","Spooler SubSystem App","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","2.890625","3395584","142417920"
"sppsvc","7720","07-08-2025 18:35:49",,,,,,"0.28125","19992576","103665664"
"StartMenuExperienceHost","6384","07-08-2025 15:11:11","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","Microsoft Corporation","Windows Start Experience Host","10.0.26100.4484 (WinBuild.160101.0800)","10.0.26100.4484","3.8125","20811776","-574578688"
"svchost","540","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","13.796875","20590592","179732480"
"svchost","868","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","18.390625","12648448","111452160"
"svchost","1236","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","41.078125","68673536","291602432"
"svchost","1260","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","12.1875","14618624","276205568"
"svchost","1308","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","100.390625","18538496","205991936"
"svchost","1320","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","2.28125","14209024","240844800"
"svchost","1328","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.1875","2334720","94998528"
"svchost","1452","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","4.3125","5242880","105234432"
"svchost","1528","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","86.65625","54751232","1488166912"
"svchost","1552","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.984375","6774784","114708480"
"svchost","1572","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.28125","2076672","114970624"
"svchost","1656","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","3.640625","16896000","135938048"
"svchost","1664","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","8.921875","17678336","287064064"
"svchost","1792","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.5625","4050944","136327168"
"svchost","2072","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.046875","4198400","92553216"
"svchost","2280","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.890625","5869568","135036928"
"svchost","2336","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.765625","2699264","115560448"
"svchost","2460","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.078125","2072576","82677760"
"svchost","2468","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.140625","2777088","97665024"
"svchost","2660","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","13.96875","14434304","112365568"
"svchost","2800","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.25","6385664","163385344"
"svchost","2820","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","13.765625","24776704","276185088"
"svchost","3064","07-08-2025 14:56:22","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.125","1896448","91992064"
"svchost","3320","07-08-2025 14:56:22","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.078125","1888256","91848704"
"svchost","3764","07-08-2025 15:11:07","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","2.21875","5545984","101216256"
"svchost","4512","07-08-2025 14:56:38","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","4.734375","6307840","106393600"
"svchost","4864","07-08-2025 14:58:40","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.109375","2215936","107479040"
"svchost","5140","07-08-2025 14:56:58","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.140625","2486272","95760384"
"svchost","5240","07-08-2025 15:10:56","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.296875","1851392","88891392"
"svchost","5412","07-08-2025 14:58:40",,,,,,"0.28125","4894720","100499456"
"svchost","5852","07-08-2025 15:11:08","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.078125","2060288","108302336"
"svchost","6100","07-08-2025 15:11:08","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.234375","11304960","211898368"
"svchost","6128","07-08-2025 14:58:39","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.453125","3780608","109424640"
"svchost","6288","07-08-2025 18:26:22","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.046875","9150464","88838144"
"svchost","6852","07-08-2025 15:11:11","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.640625","12591104","179093504"
"svchost","6972","07-08-2025 15:58:06","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.109375","2736128","120442880"
"svchost","7172","07-08-2025 15:11:12","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.328125","2899968","158314496"
"svchost","7484","07-08-2025 15:15:17","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","8.75","3235840","169123840"
"svchost","9068","07-08-2025 18:26:46",,,,,,"0.171875","15257600","97419264"
"System","4","07-08-2025 14:56:17",,,,,,"260.765625","143360","4571136"
"TabTip","2296","07-08-2025 17:00:02","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe","Microsoft Corporation","Touch Keyboard and Handwriting Panel","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.6875","10919936","309932032"
"taskhostw","5756","07-08-2025 15:11:08","C:\WINDOWS\system32\taskhostw.exe","Microsoft Corporation","Host Process for Windows Tasks","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","0.734375","5169152","171503616"
"taskhostw","7436","07-08-2025 16:06:24","C:\WINDOWS\system32\taskhostw.exe","Microsoft Corporation","Host Process for Windows Tasks","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","0.8125","557056","152870912"
"TextInputHost","9328","07-08-2025 15:17:37","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","Microsoft Corporation","","2125.14300.20.0","2125.14300.20.0","4.796875","21106688","428609536"
"TiWorker","384","07-08-2025 18:35:51","C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.4651_none_a510910d775cffb2\TiWorker.exe","Microsoft Corporation","Windows Modules Installer Worker","10.0.26100.4651 (WinBuild.160101.0800)","10.0.26100.4651","1.375","17702912","119549952"
"TrustedInstaller","4308","07-08-2025 18:35:51","C:\WINDOWS\servicing\TrustedInstaller.exe","Microsoft Corporation","Windows Modules Installer","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","0.046875","9994240","73535488"
"VGAuthService","2980","07-08-2025 14:56:21","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","VMware, Inc.","VMware Guest Authentication Service","12.4.5.5473","1.0.0 build-23786699","0.109375","2457600","110510080"
"vm3dservice","2988","07-08-2025 14:56:21","C:\WINDOWS\system32\vm3dservice.exe","VMware, Inc.","VMware SVGA Helper Service","9.17.07.0004","9.17.07.0004 - build-23707962","0.234375","1695744","84549632"
"vm3dservice","3248","07-08-2025 14:56:22","C:\WINDOWS\system32\vm3dservice.exe","VMware, Inc.","VMware SVGA Helper Service","9.17.07.0004","9.17.07.0004 - build-23707962","6.625","577536","86822912"
"vmtoolsd","2996","07-08-2025 14:56:21","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","VMware, Inc.","VMware Tools Core Service","12.4.5.49651","12.4.5 build-23787635","23.3125","8830976","157716480"
"vmtoolsd","9844","07-08-2025 15:11:29","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","VMware, Inc.","VMware Tools Core Service","12.4.5.49651","12.4.5 build-23787635","32.765625","36642816","232165376"
"Widgets","7356","07-08-2025 15:11:12","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.15301.20.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","Microsoft Corporation","","525.15301.20.0","525.15301.20.0","2.84375","22126592","333160448"
"WidgetService","6624","07-08-2025 15:11:15","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.9.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe","Microsoft Corporation","WidgetService.exe","0.5.0.0","0.5","0.453125","2691072","172216320"
"wininit","732","07-08-2025 14:56:19",,,,,,"0.25","1712128","89600000"
"winlogon","804","07-08-2025 14:56:19","C:\WINDOWS\system32\winlogon.exe","Microsoft Corporation","Windows Log-on Application","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.125","172032","134897664"
"winlogon","4820","07-08-2025 15:10:55","C:\WINDOWS\system32\winlogon.exe","Microsoft Corporation","Windows Log-on Application","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.375","667648","139931648"
"WmiPrvSE","3908","07-08-2025 14:56:36","C:\WINDOWS\system32\wbem\wmiprvse.exe","Microsoft Corporation","WMI Provider Host","10.0.26100.3323 (WinBuild.160101.0800)","10.0.26100.3323","34.171875","23695360","128348160"
"WmiPrvSE","7624","07-08-2025 18:25:06","C:\WINDOWS\system32\wbem\wmiprvse.exe","Microsoft Corporation","WMI Provider Host","10.0.26100.3323 (WinBuild.160101.0800)","10.0.26100.3323","0.515625","16830464","114855936"
"WmiPrvSE","9580","07-08-2025 18:35:51","C:\WINDOWS\system32\wbem\wmiprvse.exe","Microsoft Corporation","WMI Provider Host","10.0.26100.3323 (WinBuild.160101.0800)","10.0.26100.3323","0.03125","11911168","80072704"
"WUDFHost","10216","07-08-2025 17:00:01","C:\Windows\System32\WUDFHost.exe","Microsoft Corporation","Windows Driver Foundation - User-mode Driver Framework Host Process","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","0.53125","22249472","154951680"
